tier,tier_label,n_cells,series,target,target_label,sparsity,retained_fraction,value,ci_lo,ci_hi,ci_status,n,unit,gate,note
small,≤3.8B,,patch_payload_mib,gemma,gemma-2.6B,0.9,0.09999999999999998,4.387698,4.387698,4.387698,,3,MiB (bytes/2**20),v9 (size is gate-invariant),"payload only: bits + per-tensor scales, no support index"
small,≤3.8B,,patch_payload_mib,gemma,gemma-2.6B,0.95,0.050000000000000044,2.193948,2.193948,2.193948,,3,MiB (bytes/2**20),v9 (size is gate-invariant),"payload only: bits + per-tensor scales, no support index"
small,≤3.8B,,patch_payload_mib,gemma,gemma-2.6B,0.97,0.030000000000000027,1.316448,1.316448,1.316448,,3,MiB (bytes/2**20),v9 (size is gate-invariant),"payload only: bits + per-tensor scales, no support index"
small,≤3.8B,,patch_payload_mib,gemma,gemma-2.6B,0.99,0.010000000000000009,0.438948,0.438948,0.438948,,3,MiB (bytes/2**20),v9 (size is gate-invariant),"payload only: bits + per-tensor scales, no support index"
small,≤3.8B,,patch_payload_mib,gemma,gemma-2.6B,0.995,0.0050000000000000044,0.219573,0.219573,0.219573,,3,MiB (bytes/2**20),v9 (size is gate-invariant),"payload only: bits + per-tensor scales, no support index"
small,≤3.8B,,patch_payload_mib,gemma,gemma-2.6B,0.999,0.0010000000000000009,0.044073,0.044073,0.044073,,3,MiB (bytes/2**20),v9 (size is gate-invariant),"payload only: bits + per-tensor scales, no support index"
small,≤3.8B,,patch_payload_mib,llama,llama-3.2B,0.0,1.0,84.000214,84.000214,84.000214,,3,MiB (bytes/2**20),v9 (size is gate-invariant),"payload only: bits + per-tensor scales, no support index"
small,≤3.8B,,patch_payload_mib,llama,llama-3.2B,0.5,0.5,42.000211,42.000209,42.000212,,3,MiB (bytes/2**20),v9 (size is gate-invariant),"payload only: bits + per-tensor scales, no support index"
small,≤3.8B,,patch_payload_mib,llama,llama-3.2B,0.9,0.09999999999999998,8.400213,8.400213,8.400213,,3,MiB (bytes/2**20),v9 (size is gate-invariant),"payload only: bits + per-tensor scales, no support index"
small,≤3.8B,,patch_payload_mib,llama,llama-3.2B,0.95,0.050000000000000044,4.200213,4.200213,4.200214,,3,MiB (bytes/2**20),v9 (size is gate-invariant),"payload only: bits + per-tensor scales, no support index"
small,≤3.8B,,patch_payload_mib,llama,llama-3.2B,0.97,0.030000000000000027,2.520213,2.520212,2.520213,,3,MiB (bytes/2**20),v9 (size is gate-invariant),"payload only: bits + per-tensor scales, no support index"
small,≤3.8B,,patch_payload_mib,llama,llama-3.2B,0.99,0.010000000000000009,0.840213,0.840213,0.840214,,3,MiB (bytes/2**20),v9 (size is gate-invariant),"payload only: bits + per-tensor scales, no support index"
small,≤3.8B,,patch_payload_mib,llama,llama-3.2B,0.995,0.0050000000000000044,0.420214,0.420214,0.420214,,3,MiB (bytes/2**20),v9 (size is gate-invariant),"payload only: bits + per-tensor scales, no support index"
small,≤3.8B,,patch_payload_mib,llama,llama-3.2B,0.999,0.0010000000000000009,0.084214,0.084214,0.084214,,3,MiB (bytes/2**20),v9 (size is gate-invariant),"payload only: bits + per-tensor scales, no support index"
big,7–9B,2,per_target_delta_vs_dense,llama,llama-8B,0.0,1.0,0.000000,,,,1,removal delta,v9,one of the 2 cells the band resamples
big,7–9B,2,per_target_cell_mean,llama,llama-8B,0.0,1.0,0.487061,,,,3,removal,v9,mean over 3 seed rows; 1 budget-fail scored 0.0
big,7–9B,2,per_target_delta_vs_dense,qwen,qwen-7B,0.0,1.0,0.000000,,,,1,removal delta,v9,one of the 2 cells the band resamples
big,7–9B,2,per_target_cell_mean,qwen,qwen-7B,0.0,1.0,0.649859,,,,3,removal,v9,mean over 3 seed rows; 0 budget-fail scored 0.0
big,7–9B,2,per_target_delta_vs_dense,llama,llama-8B,0.5,0.5,0.013637,,,,1,removal delta,v9,one of the 2 cells the band resamples
big,7–9B,2,per_target_cell_mean,llama,llama-8B,0.5,0.5,0.500697,,,,3,removal,v9,mean over 3 seed rows; 1 budget-fail scored 0.0
big,7–9B,2,per_target_delta_vs_dense,qwen,qwen-7B,0.5,0.5,-0.016810,,,,1,removal delta,v9,one of the 2 cells the band resamples
big,7–9B,2,per_target_cell_mean,qwen,qwen-7B,0.5,0.5,0.633049,,,,3,removal,v9,mean over 3 seed rows; 0 budget-fail scored 0.0
big,7–9B,2,per_target_delta_vs_dense,llama,llama-8B,0.9,0.09999999999999998,-0.000503,,,,1,removal delta,v9,one of the 2 cells the band resamples
big,7–9B,2,per_target_cell_mean,llama,llama-8B,0.9,0.09999999999999998,0.486557,,,,3,removal,v9,mean over 3 seed rows; 1 budget-fail scored 0.0
big,7–9B,2,per_target_delta_vs_dense,qwen,qwen-7B,0.9,0.09999999999999998,0.031804,,,,1,removal delta,v9,one of the 2 cells the band resamples
